REPORTED DATE :	12/11/2020	Page 1	PolyMerit Asia Co.,Ltd.	858 Moo 2, Soi 1C/1  Bangpu Industrial Estate, Bangpumai,   Muang Samutprakarn, Samutprakarn 10280 Thailand.
Tel : (66)0-2323-2601-08  Fax  (66)0-2323-2227-8	LOSS ON PROCESS
End days = จำนวนวันหลังจากที่โพส GR. จนถึงวัน End process	Delivery lead time : จำนวนวันโดยนับตั้งแต่เริ่มสร้าง Production จนถึงการ End process	Act lead time : จำนวนวันโดยนับจากการ Start production จนถึงการ End process
Item number	Item group	Production	Batch number	Configuration	Work center	S/O No.	Order	MIS.	GR.	LOSS	KPI % loss	%	Result	% Variance	Price variance	Quantity variance	Substitution variance	Total variance	Started	Ended date	End days	Act. lead time	Delivery lead time
MHBK6848	FG-BLACK	PD63000116	FP63-000131	BUSS	21HM500-1	SO63000052	11,250.000	11,280.000	11,200.000	80.000	0.350	0.709	Fail	-4.940	-22,713.430	-79,467.250	84,166.000	-18,014.680	24/1/2020	30/1/2020	2	7	7
MHBK6848	FG-BLACK	PD63000117	FP63-000132	BUSS	21HM500-1	SO63000052	11,250.000	11,280.000	11,200.000	80.000	0.350	0.709	Fail	-4.438	-22,320.255	-79,368.080	85,506.090	-16,182.245	27/1/2020	30/1/2020	1	4	7
MHBK6848	FG-BLACK	PD63000118	FP63-000133	BUSS	21HM500-1	SO63000052	11,250.000	11,280.000	11,200.000	80.000	0.350	0.709	Fail	-4.483	-9,199.102	-140,759.762	133,612.500	-16,346.364	28/1/2020	30/1/2020	1	3	7
MHBR10859	FG-COLOUR	PD63000012	FP63-000012	TWIN-58	21HM200-2	SO62000662	1,010.000	1,010.000	1,000.000	10.000	0.350	0.990	Fail	4.578	1,773.707	2,064.767	-209.251	3,629.223	24/1/2020	30/1/2020	2	7	24
MHBR10859	FG-COLOUR	PD63000013	FP63-000013	TWIN-58	21HM200-2	SO62000662	1,010.000	1,010.000	1,000.000	10.000	0.350	0.990	Fail	-5.970	-5,172.632	953.628	-513.240	-4,732.244	24/1/2020	30/1/2020	1	7	24
MHBR10859	FG-COLOUR	PD63000014	FP63-000014	TWIN-58	21HM200-2	SO62000662	1,010.000	1,010.000	1,000.000	10.000	0.350	0.990	Fail	2.194	268.370	1,984.310	-513.240	1,739.440	24/1/2020	30/1/2020	1	7	24
MHBR10859	FG-COLOUR	PD63000015	FP63-000015	TWIN-58	21HM200-2	SO62000662	1,010.000	1,010.000	1,010.000	0.000	0.350	0.000	Pass	-3.358	-2,838.852	701.362	-551.460	-2,688.950	27/1/2020	30/1/2020	1	4	24
MHBR10859	FG-COLOUR	PD63000016	FP63-000016	TWIN-58	21HM200-2	SO62000662	1,010.000	1,010.000	1,010.000	0.000	0.350	0.000	Pass	-3.958	-3,173.837	556.569	-551.460	-3,168.728	27/1/2020	30/1/2020	1	4	24
MPWH14414	FG-WHITE	PD62001587	FP62-001657	TWIN-58	21HM200-5	SO62000784	5,030.000	5,030.000	5,025.000	5.000	0.350	0.099	Pass	21.670	73,178.281	3,523.094	7,910.810	84,612.185	24/12/2019	9/1/2020	2	17	36
MPWH14414	FG-WHITE	PD62001588	FP62-001658	TWIN-58	21HM200-5	SO62000784	5,030.000	5,030.000	5,025.000	5.000	0.350	0.099	Pass	22.738	79,728.960	9,052.473	0.000	88,781.433	6/1/2020	15/1/2020	2	10	42
