Item number	Item group	Production	Batch number	Configuration	Work center	S/O No.	Order	MIS.	GR.	LOSS	KPI % loss	%	Result	% Variance	Price variance	Quantity variance	Substitution variance	Total variance	Started	Ended date	End days	Act. lead time	Delivery lead time
MVGN13197	FG-COLOUR	PD63000026	FS63-000028	TWIN-L	21HM200-1	SO63000010	507.7	507.7	501.6	6.1	2.1	1.201	Pass	6.923	2911.530	874.760	1078.720	4865.010	9/1/2020	16/1/2020	1	8	11
CPTC21394	TRADE-CO	PD63000048	FS63-000073	TWIN-L	21TM500-2	SO63000029	"5,040.60"	"5,040.60"	"5,000.00"	40.6	0.5	0.805	Fail	-24.203	-7526.200	15799.750	-59341.390	-51067.840	13/1/2020	16/1/2020	2	4	11
CPTC21394	TRADE-CO	PD63000049	FS63-000074	TWIN-L	21TM500-2	SO63000029	"5,015.00"	"5,015.00"	"5,000.00"	15	0.5	0.299	Pass	-26.595	-10991.630	14749.430	-59873.100	-56115.300	13/1/2020	16/1/2020	1	4	11
GENA21159	FG-GD-SER	PD63000064	FS63-000095	OT	25PM500-1	SO63000032	"7,500.00"	"7,500.00"	"7,500.00"	0	0.5	0	Pass	37.929	1819.740	1583.860	75.000	3478.600	8/1/2020	16/1/2020	1	9	10
SRPOP02	SRM	PD63000073	FS63-000121	OT	25PM500-3	Manual	50	50	50	0	3.1	0	Pass	-0.403	-10.890	-9.480	0.000	-20.370	13/1/2020	16/1/2020	1	4	10
PXRD20306	FG-PM	PD63000074	FS63-000123	OT	21HM75-1	SO63000073	42.1	45.254	44.7	0.554	3.1	1.224	Pass	13.614	878.710	-881.070	985.330	982.970	7/1/2020	16/1/2020	2	10	10
MEWH21350	FG-COLOUR	PD63000104	FS63-000195	TWIN-L	21HM75-1	SO63000151	27	27	26.3	0.7	3.1	2.593	Pass	61.573	2308.340	237.870	18.700	2564.910	9/1/2020	16/1/2020	2	8	8
SRLLP20	SRM	PD63000111	FS63-000209	OT	25MF600-1	Manual	"5,250.00"	"5,250.00"	"5,250.00"	0	0.5	0	Pass	1.818	1841.910	821.960	0.000	2663.870	9/1/2020	16/1/2020	2	8	8
MEBL15965	FG-COLOUR	PD63000114	FS63-000213	TWIN-L	21TM500-1	SO63000145	130.1	138.34	136.2	2.14	2.1	1.547	Pass	52.423	5530.000	216.770	1908.490	7655.260	10/1/2020	16/1/2020	2	7	7
MSBR10735	FG-COLOUR	PD63000118	FS63-000241	TWIN-L	21HM200-3	SO63000226	302.8	302.801	299.1	3.701	2.1	1.222	Pass	-30.186	-10865.450	-1179.970	1179.430	-10865.990	13/1/2020	16/1/2020	2	4	7
PXGN20884	FG-PM	PD63000120	FS63-000243	OT	21HM75-1	SO63000209	11.801	11.801	11.5	0.301	3.1	2.551	Pass	13.166	54.330	-7.630	43.100	89.800	10/1/2020	16/1/2020	1	7	7
PXBR20895	FG-PM	PD63000122	FS63-000245	OT	21HM75-1	SO63000209	12.1	12.1	11.9	0.2	3.1	1.653	Pass	118.829	577.310	117.100	46.380	740.790	10/1/2020	16/1/2020	1	7	7
SE40OR24A	SCOL	PD63000145	FS63-000276	TWIN-L	21HM75-1	Manual	10	10	9.5	0.5	3.1	5	Fail	103.128	2974.770	476.830	65.380	3516.980	13/1/2020	16/1/2020	1	4	4
MEGY13198	TRADE-COL	PD63000150	FS63-000285	TWIN-L	21HM200-3	SO63000265	55	64.635	63.9	0.735	3.1	1.137	Pass	140.406	7608.890	580.110	-120.940	8068.060	13/1/2020	16/1/2020	2	4	4
MEGY5478	FG-COLOUR	PD63000187	FS63-000323	TWIN-L	21HM200-1	SO63000297	80.5	80.501	78.2	2.301	2.1	2.858	Fail	-3.75	-435.590	-30.310	-110.440	-576.340	14/1/2020	16/1/2020	1	3	3
MEGN19115	FG-COLOUR	PD63000190	FS63-000326	TWIN-L	21HM200-2	SO63000308	104.5	104.5	102.4	2.1	2.1	2.01	Pass	19.021	1617.940	-110.840	1385.240	2892.340	14/1/2020	16/1/2020	1	3	3
MEGY46	FG-COLOUR	PD63000191	FS63-000327	TWIN-L	21HM200-1	SO63000310	53	53	51.8	1.2	3.1	2.264	Pass	-11.84	-695.360	26.200	0.000	-669.160	14/1/2020	16/1/2020	1	3	3
MSBR21430-1	TEST	PD62004082	FS62-006799	TWIN-L	21HM200-2	SO62008172	78	79.828	77	2.828	2.1	3.543	Fail	-2.414	-1017.600	693.860	0.000	-323.740	25/12/2019	17/1/2020	1	24	30
CQNA21425	FG-CO-SER	PD63000028	FS63-000039	OT	21OV100-1	SO63000014	300	300	299.5	0.5	2.1	0.167	Pass	-20.558	-272.800	-161.200	3.000	-431.000	6/1/2020	17/1/2020	4	12	12
